s'entraîner,to train (e.g. in a sport)
épais,thick
épicé,spicy
épuiser,to exhaust
l' escargot (m),snail
faire la grasse matinée,to have a lie in
la farine,flour
le foie,liver

hors d'haleine,out of breath
l' huître (f),oyster
ivre,drunk
la laitue,lettuce
les matières grasses (f),fat
mener,to lead
la noix,walnut
l' oignon (m),onion
l' ouvre-boîte (m),tin opener
le pamplemousse,grapefruit


le poumon,lung
la prune,plum
renoncer,to give up
reprendre connaissance,to regain consciousness
respirer,to breathe
le revendeur,dealer
saignant,rare (e.g. steak)


savoureux,tasty
le sommeil (avoir sommeil),sleep (to feel sleepy)
le tabagisme,addiction to smoking
le tire-bouchon,corkscrew

tuer,to kill

la veine,vein
le vinaigre,vinegar
voler,to steal
actif,active

agresser,to attack
l' alliance (f),wedding ring
animé,lively
l' attaque (f),attack
la bague,ring
baiser,kiss
la bande,group (e.g. of friends)
le bonheur,happiness
brutaliser,to ill-treat
cacher,to hide
le caractère,character
célibataire,single

chrétien,Christian
compréhensif,understanding

consacrer,to devote
le conseil,advice
coupable,guilty
de mauvaise humeur,in a bad mood

déçu,disappointed
déprimé,depressed
déranger,to disturb
la dette,debt
douter,to doubt
les droits de l'homme (m),human rights

égal,equal
l' égalité (f),equality
élégant,smart/elegant



envahir,to overcome
épouser,to marry
l' espoir (m),hope


étrange,strange
éviter,to avoid
les exclus (m/f),outcasts
féliciter,to congratulate
fêter,to celebrate
les fiançailles (f),engagement
fiancé,engaged
fier,proud
fou,mad

humilier,to humiliate
illégal,illegal
l' immigré (m),immigrant
inconnu,unknown
jaloux,jealous
la jeunesse,youth

juif,Jewish
le jumeau,twin (male)
la jumelle,twin (female)
laid,ugly
les libertés civiques (f),civil liberties
lutter,to fight

maladroit,clumsy
la manifestation,demonstration
menacer,to threaten
se mettre en colère,to get angry
monoparental,single-parent
le moral,moral
la mosquée,mosque
mourir,to die
musulman,Muslim
naître,to be born
nerveux,nervous
le neveu,nephew
la nièce,niece
les noces (f),wedding
la nostalgie,nostalgia
l' organisation caritative (f),charity
la pauvreté,poverty
la petite-fille,granddaughter
le petit-fils,grandson
se plaindre,to complain
plaire,to please
le plaisir,pleasure
la racaille,scum/low life
le racisme,racism
raide,straight (e.g. hair)
réaliser,to fulfil
reconnaissant,grateful
réfléchir,to think
le réfugié,refugee
la retraite (à la retraite),retirement (retired)
rêver,to dream
sans ressources,without means
les sans-abri (m/f),homeless people
le sentiment,feeling
se séparer,to separate (e.g. a couple)
le sida,AIDS

le témoin,witness
tomber amoureux de,to fall in love with
le travail bénévole,voluntary work
le veuf,widower
la veuve,widow
vif,lively
le vol,theft
le voyou,hooligan
les actualités (f),the news
l' alpinisme (m),mountaineering

anonyme,anonymous
l' antenne (f),aerial
le bijou,piece of jewellery
le bloggeur,blogger
la boîte aux lettres électronique (blé),email inbox
le bouton,button
le caméscope,camcorder
le canoë-kayak,canoeing
la chaîne,channel
le chariot,trolley
le chemisier,blouse
le commencement,beginning
le commerçant,shopkeeper
le comptoir,counter
la console de jeu,games console
contrôler,to check
le courrier électronique,email

le cybercafé,cyber café
déchirer,to tear

deviner,to guess

le distributeur automatique,cash machine
l' écharpe (f),scarf
les échecs (m),chess
l' écran tactile (m),touch screen
effacer,to delete
emballer,to wrap up

enregistrer,to record
l' escalade (f),rock climbing
être remboursé,to be refunded
faire du lèche-vitrine,to go window shopping
la fermeture (annuelle),(annual) closing
le feu d'artifice,fireworks
feuilleter,to flip through
les fléchettes (f),darts


la grille de sécurité,security gate
le gymnase,gymnasium
l' icône (f),icon
imprimer,to print
le jour férié,bank holiday

le libre-service,self-service
le lien,hyperlink
lourd,heavy
le magnétoscope,video recorder
marquer (un but),to score (a goal)
mettre en ligne,to line up

le moniteur,monitor
les mots croisés (m),crossword
la musculation (faire de la musculation),weight training (to work out)
la page d'accueil,home page
pédagogique,educational
le piercing (à l'oreille),(ear) piercing
la pile,battery
la planche de surf,surfboard
la platine laser,CD player
la plongée sous-marine,scuba diving
la poissonnerie,fish shop

la prise,socket
le pull à capuche,hooded top
quotidien,daily
la réclame (en réclame),advertisement (on special offer)
le reçu,receipt

remplacer,to replace
remporter (un prix),to win (a prize)
le réseau,network

la réunion,meeting

suggérer,to suggest
le tatouage,tattoo
télécharger,to download
le téléspectateur,TV viewer
la tournée,tour
le traitement de texte,word processing
l' aire de repos (f),rest area (on French motorway)
atterrir,to land
l' avis (m),opinion


la brasserie,brasserie (a type of restaurant)
le casque,helmet
la chambre d'hôte,bed and breakfast
le chemin de fer,railway
la climatisation,air conditioning
la correspondance,connection (on train journey)
la croisière,cruise
décoller,to take off
la déviation,diversion

doubler,to overtake
en provenance de,from
l' état (m),state
la frontière,border

le loyer,rent
manquer,to miss
la marée,tide
le niveau,level


le parc d'attractions,theme park
le passage à niveau,level crossing

ralentir,to slow down
remarquer,to notice
le routier,transport café
la station balnéaire,seaside resort
la station de ski,ski resort
la tour,trip
le trajet,journey
la traversée,crossing

appuyer,to press
l' arrondissement (m),district of a large city (Paris,Lyon or Marseilles)
le baptême,christening
le bricolage,DIY
bruyant,noisy

la couverture,blanket
donner sur,to look out onto
dur,hard
l' échelle (f),ladder
entouré,surrounded


éteindre,to turn off
le fauteuil,armchair
la feuille,leaf
la fontaine,fountain
la forêt,forest
le grenier,attic
la haie,hedge
l' herbe (f),grass
l' horloge (f),clock
l' inondation (f),flood
le jardin zoologique,zoo
le jour de l'an,New Year's Day
jumelé,twinned
les lits superposés (m),bunk beds
la moquette,carpet
le palais,palace
pittoresque,picturesque
le robinet,tap
la Saint-Sylvestre,New Year's Eve
sans intérêt,uninteresting
spacieux,spacious

le tiroir,drawer
la Toussaint,All Saints' Day
le volet,shutter
augmenter,to increase
le charbon,coal
la consommation (modérée),(moderate) consumption
construire,to build
la couche d'ozone,ozone layer
croire,to believe
le déboisement,deforestation
les détritus (m),rubbish
détruire,to destroy
disparaître,to disappear
l' effet de serre (m),greenhouse effect
l' emballage (m),packaging
l' embouteillage (m),traffic jam
endommager,to damage
le gaz carbonique,carbon dioxide
le gaz d'échappement,exhaust fumes
la guerre,war
les heures d'affluence (f),rush hour
l' incendie (m),fire
la lumière,light
mondial,worldwide
les ordures (f),rubbish
la paix,peace
produire,to produce
ramasser,to collect
le réchauffement de la terre,global warming
renouvelable,renewable
surpeuplé,overpopulated
le tremblement de terre,earthquake
le trou d'ozone,hole in the ozone layer
la vague,wave
bien équipé,well equipped
le car de ramassage,school bus
la confiance,confidence
la connaissance,knowledge
couramment,fluently
le diplôme,diploma

échouer,to fail
empêcher,to prevent
enseigner,to teach
l' enthousiasme (m),enthusiasm
l' explication (f),explanation
la fac(ulté),university
frapper,to hit

l' instruction civique (f),citizenship
l' instruction religieuse (f),RE
les langues vivantes (f),modern foreign languages
la licence,degree
mal équipé,badly equipped
la maternelle,nursery school
mentir,to lie
permettre,to allow
les progrès (m),progress
redoubler,to retake a year at school
la retenue,detention

la salle d'informatique,computer room
la salle des professeurs,staff room
le souci,worry
surchargé,overloaded
la tâche,task
se taire,to be quiet
le thème,theme
traduire,to translate
le troisième âge,the retirement years
utiliser,to use
la victime,victim
améliorer,to improve
l' annuaire (m),directory



l' avocat (m),lawyer

le comptable,accountant
le contrat,contract
le cours professionnel,professional course
la demande d'emploi,job application
l' écrivain (m),writer
enrichissant,rewarding
l' entretien (m),interview
l' épreuve (f),test
la femme de ménage,cleaning lady
la foire d'exposition,trade fair
l' homme au foyer (m),house husband

l' interprète (m/f),interpreter
le jardinier,gardener
licencier,to make redundant
la loi,law

le mannequin,model

l' ouvrier (m),worker
le programme de formation,training programme
